                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     90,                  1.022,                 0.6127,                 1.1472,                0.96024,                0.99937,                0.99377,                0.75041,                0.91021,                0.44392,                 1.1261,              0.0013765,              0.0013765,              0.0013765
                     91,                 1.0534,                 0.6301,                 1.1456,                0.97936,                      1,                0.99493,                 0.7581,                0.94955,                0.42335,                   1.14,              0.0013732,              0.0013732,              0.0013732
                     92,                 1.1003,                 0.6267,                 1.1708,                0.99894,                      1,                  0.995,                0.74233,                0.97054,                0.41553,                 1.1479,              0.0013699,              0.0013699,              0.0013699
                     93,                 1.0302,                0.60824,                 1.1387,                0.99894,                      1,                  0.995,                0.74167,                0.94015,                0.42255,                 1.1353,              0.0013666,              0.0013666,              0.0013666
                     94,                 1.0532,                0.60764,                 1.1363,                0.99864,                      1,                  0.995,                0.75224,                0.91879,                 0.4002,                 1.1224,              0.0013633,              0.0013633,              0.0013633
                     95,                 1.0526,                0.60773,                 1.1575,                0.99861,                      1,                  0.995,                0.75524,                0.91931,                0.41272,                 1.1213,                0.00136,                0.00136,                0.00136
                     96,                 1.0553,                0.61422,                 1.1728,                0.99905,                      1,                  0.995,                0.76124,                0.90499,                0.40419,                 1.1123,              0.0013567,              0.0013567,              0.0013567
                     97,                0.99174,                0.53554,                 1.0954,                0.99892,                      1,                  0.995,                0.75612,                0.93409,                0.39496,                 1.1303,              0.0013534,              0.0013534,              0.0013534
                     98,                0.98762,                0.58452,                 1.1227,                0.99894,                      1,                  0.995,                0.76541,                 0.8745,                0.37757,                  1.102,              0.0013501,              0.0013501,              0.0013501
                     99,                 1.0259,                0.55762,                 1.1478,                 0.9989,                      1,                  0.995,                0.76228,                0.91787,                0.40199,                 1.1141,              0.0013468,              0.0013468,              0.0013468
                    100,                 1.0754,                0.62404,                 1.1606,                0.99876,                      1,                  0.995,                0.75995,                0.90516,                0.41563,                 1.1127,              0.0013435,              0.0013435,              0.0013435
                    101,                  1.027,                0.61283,                 1.1251,                 0.9984,                      1,                  0.995,                0.76591,                0.88528,                0.40753,                 1.1162,              0.0013402,              0.0013402,              0.0013402
                    102,                 0.9888,                0.54839,                 1.1329,                0.99796,                      1,                  0.995,                0.75537,                0.90706,                0.40034,                 1.1319,              0.0013369,              0.0013369,              0.0013369
                    103,                  1.039,                0.55056,                 1.1339,                0.99803,                      1,                  0.995,                0.74096,                0.93763,                0.40724,                 1.1438,              0.0013336,              0.0013336,              0.0013336
                    104,                 1.0999,                0.60617,                 1.1373,                0.99855,                      1,                  0.995,                0.74451,                0.93069,                0.39535,                 1.1339,              0.0013303,              0.0013303,              0.0013303
                    105,                 1.0614,                0.61294,                 1.1637,                 0.9989,                      1,                  0.995,                0.74563,                0.93416,                0.40383,                 1.1268,               0.001327,               0.001327,               0.001327
                    106,                0.98227,                0.55976,                 1.1199,                0.99711,                0.99993,                  0.995,                0.74666,                0.92254,                0.41119,                 1.1258,              0.0013237,              0.0013237,              0.0013237
                    107,                0.95362,                0.52604,                  1.101,                 0.9972,                0.99893,                  0.995,                0.74068,                0.96048,                0.42229,                 1.1393,              0.0013204,              0.0013204,              0.0013204
                    108,                 1.0647,                0.62381,                 1.1741,                0.99806,                      1,                  0.995,                0.72981,                 1.0218,                0.43588,                  1.179,              0.0013171,              0.0013171,              0.0013171
                    109,                 1.0802,                0.62004,                 1.1498,                0.99084,                      1,                  0.995,                0.73925,                0.93408,                0.40342,                 1.1459,              0.0013138,              0.0013138,              0.0013138
                    110,                 0.9745,                 0.6031,                 1.1098,                0.99844,                      1,                  0.995,                  0.766,                0.90732,                0.38311,                 1.1322,              0.0013105,              0.0013105,              0.0013105
                    111,                 1.0123,                0.58118,                 1.1139,                0.99844,                      1,                  0.995,                0.76943,                0.88441,                0.38502,                 1.1152,              0.0013072,              0.0013072,              0.0013072
                    112,                 1.0278,                0.62126,                  1.162,                0.99873,                      1,                  0.995,                0.76107,                0.89408,                0.39545,                 1.1144,              0.0013039,              0.0013039,              0.0013039
                    113,                0.99825,                0.58021,                  1.135,                0.99613,                      1,                  0.995,                0.77378,                0.88699,                0.40134,                 1.1058,              0.0013006,              0.0013006,              0.0013006
                    114,                0.98065,                0.60225,                 1.1229,                0.98175,                0.98703,                0.99442,                0.75877,                0.91024,                0.41996,                 1.1209,              0.0012973,              0.0012973,              0.0012973
                    115,                  1.014,                0.59624,                 1.1287,                0.98848,                0.99943,                  0.995,                0.76543,                 0.8697,                0.38923,                 1.0973,               0.001294,               0.001294,               0.001294
